grammar,seed,n_layer,n_embd,n_head,steps,test_ce,loss_gap_closed,root_r2,deepest_r2,root_rmse,deepest_rmse
0,1,2,256,4,4000,0.887,0.88,0.21,0.546,0.213,0.166
0,2,2,256,4,4000,0.833,0.92,0.329,0.673,0.2,0.139
1,0,2,256,4,4000,0.86,0.897,0.518,0.693,0.183,0.13
1,1,2,256,4,4000,0.828,0.92,0.646,0.775,0.154,0.111
1,2,2,256,4,4000,0.803,0.939,0.627,0.753,0.155,0.107
2,0,2,256,4,4000,0.912,0.881,0.405,0.167,0.204,0.161
2,1,2,256,4,4000,0.895,0.894,0.344,0.489,0.217,0.17
2,2,2,256,4,4000,0.89,0.898,0.54,0.609,0.177,0.149
0,0,3,128,4,4000,0.937,0.844,0.297,0.514,0.203,0.164
0,1,3,128,4,4000,0.867,0.895,0.319,0.581,0.199,0.161
0,2,3,128,4,4000,0.883,0.883,0.3,0.513,0.205,0.171
1,0,3,128,4,4000,0.825,0.923,0.443,0.562,0.196,0.159
1,1,3,128,4,4000,0.882,0.881,0.398,0.548,0.204,0.161
1,2,3,128,4,4000,0.803,0.939,0.36,0.522,0.205,0.156
2,0,3,128,4,4000,0.855,0.924,0.414,-0.137,0.203,0.174
2,1,3,128,4,4000,0.861,0.92,0.47,0.506,0.195,0.171
2,2,3,128,4,4000,0.865,0.916,0.463,0.508,0.194,0.169
0,0,4,128,4,4000,0.884,0.883,0.311,0.525,0.201,0.164
0,1,4,128,4,4000,0.83,0.922,0.272,0.564,0.206,0.166
0,2,4,128,4,4000,0.836,0.918,0.288,0.557,0.206,0.164
1,0,4,128,4,4000,0.803,0.939,0.502,0.602,0.185,0.149
1,1,4,128,4,4000,0.838,0.913,0.461,0.61,0.192,0.15
1,2,4,128,4,4000,0.804,0.938,0.442,0.529,0.191,0.149
2,0,4,128,4,4000,0.853,0.925,0.46,-0.082,0.195,0.167
2,1,4,128,4,4000,0.832,0.941,0.5,0.537,0.189,0.163
2,2,4,128,4,4000,0.83,0.943,0.497,0.508,0.188,0.169
